name,link,GitHub
Mixin,https://coinmarketcap.com/currencies/mixin/,https://github.com/MixinNetwork
WAX,https://coinmarketcap.com/currencies/wax/,https://github.com/waxio
Zcoin,https://coinmarketcap.com/currencies/zcoin/,https://github.com/zcoinofficial/zcoin/
VestChain,https://coinmarketcap.com/currencies/vestchain/,https://github.com/vestchain
Insight Chain,https://coinmarketcap.com/currencies/insight-chain/,No link
Dai,https://coinmarketcap.com/currencies/dai/,https://github.com/makerdao/
TrueChain,https://coinmarketcap.com/currencies/truechain/,https://github.com/truechain
Cryptonex,https://coinmarketcap.com/currencies/cryptonex/,https://github.com/Cryptonex
Nash Exchange,https://coinmarketcap.com/currencies/nash-exchange/,https://github.com/nash-io
Project Pai,https://coinmarketcap.com/currencies/project-pai/,https://www.github.com/projectpai/
MaidSafeCoin,https://coinmarketcap.com/currencies/maidsafecoin/,https://github.com/maidsafe
Maximine Coin,https://coinmarketcap.com/currencies/maximine-coin/,https://github.com/maximine
Waltonchain,https://coinmarketcap.com/currencies/waltonchain/,No link
Nebulas,https://coinmarketcap.com/currencies/nebulas-token/,https://github.com/nebulasio
Egretia,https://coinmarketcap.com/currencies/egretia/,No link
Energi,https://coinmarketcap.com/currencies/energi/,https://github.com/energicryptocurrency
Horizen,https://coinmarketcap.com/currencies/zencash/,https://github.com/ZencashOfficial
Santiment Net...,https://coinmarketcap.com/currencies/santiment/,https://github.com/santiment
NULS,https://coinmarketcap.com/currencies/nuls/,https://github.com/nuls-io/nuls
Ark,https://coinmarketcap.com/currencies/ark/,https://github.com/ArkEcosystem
Grin,https://coinmarketcap.com/currencies/grin/,https://github.com/mimblewimble/grin
